lib-block-v1:Beatrix-techCBSEtype@problem+block@Science_09_1,CBSE,9,Science,atoms-and-molecules,,1,3,-1,SMCQ,,"
<p>Who suggested that if we go on dividing matter, a stage will come when particles obtained can’t be divided further?</p>
",<p>Antoine L Lavoisier</p>,<p>Joseph L Proust</p>,<p>Democritus and Leucippus</p>,<p>None of these</p>,0,0,1,0,
lib-block-v1:Beatrix-techCBSEtype@problem+block@Science_09_2,CBSE,9,Science,atoms-and-molecules,,1,3,-1,SMCQ,,"
<p><strong>The mass of a Hydrogen atom is</strong></p>
",<p><span class="math-tex">\(1.66 \times 10^{-23}\)</span></p>,<p><span class="math-tex">\(1.66 \times 10^{-24}\)</span></p>,<p><span class="math-tex">\(1.66 \times 10^{-25}\)</span></p>,<p>None of these</p>,0,1,0,0,
lib-block-v1:Beatrix-techCBSEtype@problem+block@Science_09_3,CBSE,9,Science,atoms-and-molecules,,1,3,-1,SMCQ,,"
<p>What is the atomicity of ammonia?</p>
",<p>3</p>,<p>2</p>,<p>0</p>,<p>4</p>,0,0,0,1,"
<h3>Solution:</h3>
<p>Formula of ammonia is <span class=""math-tex"">\(NH_3\)</span><br/>
1 mol contains 4 atoms-one N atom and 3 H atoms.</p> "
lib-block-v1:Beatrix-techCBSEtype@problem+block@Science_09_4,CBSE,9,Science,atoms-and-molecules,,1,3,-1,SMCQ,,"
<p>Empirical formula of Sucrose is</p>
",<p>CH<span class="math-tex">\(_2\)</span></p>,<p>CH</p>,<p>CH<span class="math-tex">\(_2\)</span>O</p>,<p>None of these</p>,1,0,0,0,"
<h3>Solution:</h3>
<p>Formula of Sucrose is C<span class=""math-tex"">\(_6\)</span>H<span class=""math-tex"">\(_{12}\)</span>O<span class=""math-tex"">\(_6\)</span>.<br/>
So, empirical formula is (CH<span class=""math-tex"">\(_2\)</span>O)<span class=""math-tex"">\(_6\)</span> that is CH<span class=""math-tex"">\(_2\)</span>O.</p> "
lib-block-v1:Beatrix-techCBSEtype@problem+block@Science_09_5,CBSE,9,Science,atoms-and-molecules,,1,3,-1,SMCQ,,"
<p>Na<span class=""math-tex"">\(_2\)</span>CO<span class=""math-tex"">\(_3\)</span> contains</p>
",<p>2 Na atoms</p>,<p>One C atom</p>,<p>3 O atom</p>,<p>All of these</p>,0,0,0,1,"
<h3>Solution:</h3>
<p><font color=""#000000""><font face=""Calibri, serif""><font face=""Cambria, serif""><font size=""3"">From such a molecular formula, we understand about the atoms.<br/>
Na</font></font><sub><font face=""Cambria, serif""><font size=""3""><span class=""math-tex"">\(_2\)</span></font></font></sub><font face=""Cambria, serif""><font size=""3"">CO</font></font><sub><font face=""Cambria, serif""><font size=""3""><span class=""math-tex"">\(_3\)</span></font></font></sub><font face=""Cambria, serif""><font size=""3""> contains</font></font></font></font></p>
<p><font color=""#000000""><font face=""Calibri, serif""><font face=""Cambria, serif""><font size=""3"">Two Na atoms<br/>
One C atom<br/>
Three O atom</font></font></font></font></p> "
lib-block-v1:Beatrix-techCBSEtype@problem+block@Science_09_6,CBSE,9,Science,atoms-and-molecules,,1,3,-1,SMCQ,,"
<p>Match the following with the correct response<strong>:</strong><br/>
(1) Ozone<br/>
(2) Helium<br/>
(3) Oxygen<br/>
(4) Phosphorous</p>
<p>(A) Monoatomic<br/>
(B) Tetraatomic<br/>
(C) Diatomic<br/>
(D) Triatomic</p>
","<p>1-A, 2-C, 3-B, 4-D</p>","<p>1-B, 2-D, 3-A, 4-C</p>","<p>1-D, 2-A, 3-C, 4-B</p>","<p>1-C, 2-B, 3-D, 4-A</p>",0,0,1,0,"
<h3>Solution:</h3>
<p>Ozone (<span class=""math-tex"">\(O_3\)</span>) – Triatomic<br/>
Helium (He) – Monoatomic<br/>
Oxygen (<span class=""math-tex"">\(O_2\)</span>) – Diatomic<br/>
Phosphorus (<span class=""math-tex"">\(P_4\)</span>) – Tetratomic</p> "
lib-block-v1:Beatrix-techCBSEtype@problem+block@Science_09_7,CBSE,9,Science,atoms-and-molecules,,1,3,-1,SMCQ,,"
<p><strong>To balance the equation: <span class=""math-tex"">\(K_2Cr_2O_7 + HCl \rightarrow KCl + CrCl_3 + H_2O + Cl_2\)</span>, number of HCl required is</strong></p>
",<p>10</p>,<p>12</p>,<p>14</p>,<p>16</p>,1,0,0,0,"
<h3>Solution:</h3>
<p><font color=""#000000""><font face=""Calibri, serif""><font face=""Cambria, serif""><font size=""3"">The balanced equation is:</font></font></font></font></p>
<p><span class=""math-tex"">\(K_2Cr_2O_7 + 14HCl \rightarrow KCl + 2CrCl_3 + 7H_2O + 3Cl_2\)</span></p> "
lib-block-v1:Beatrix-techCBSEtype@problem+block@Science_09_8,CBSE,9,Science,atoms-and-molecules,,1,3,-1,SMCQ,,"
<p>% of H in sugar is</p>
",<p>42.10</p>,<p>6.43</p>,<p>51.46</p>,<p>None of these</p>,0,1,0,0,"
<h3>Solution:</h3>
<p>Molar mass is = 12(12) + 22 (1) + 11 (16) = 144 + 22 + 176 = 342.<br/>
% of C in sugar is = <span class=""math-tex"">\(\frac {22}{342} \times 100\)</span> = 6.43%</p> "
lib-block-v1:Beatrix-techCBSEtype@problem+block@Science_09_9,CBSE,9,Science,atoms-and-molecules,,1,3,-1,SMCQ,,"
<p>How many moles of water is present in green vitriol?</p>
",<p>5</p>,<p>7</p>,<p>12</p>,<p>None of these</p>,0,1,0,0,"
<h3>Solution:</h3>
<p>Formula of green vitriol is FeSO<span class=""math-tex"">\(_4\)</span>.7H<span class=""math-tex"">\(_2\)</span>O.</p>
<p>It contains 7 molecules of water.</p> "
lib-block-v1:Beatrix-techCBSEtype@problem+block@Science_09_10,CBSE,9,Science,atoms-and-molecules,,1,3,-1,SMCQ,,"
<p>Phosphorus is :</p>
",<p>Monatomic</p>,<p>Triatomic</p>,<p>Tetra-atomic</p>,<p>Diatomic</p>,0,0,1,0,"
<h3>Solution:</h3>
<p>Formula of Phosphorus is <span class=""math-tex"">\(P_4\)</span><sub>.</sub><br/>
Atomicity of <span class=""math-tex"">\(P_4\)</span> is 4 and it is tetratomic.</p> "
