lib-block-v1:Beatrix-techJEE-Advancedtype@problem+block@Chemistry11_0,JEE-Advanced,11,Chemistry,Classification of Elements and Periodicity in properties,Atomic Size,1,3,-1,SMCQ,Analytical,"<p>The ionic radii of N<sup>3&ndash;</sup>, O<sup>2&ndash;</sup> and F<sup>&ndash;</sup> are respectively given by:</p>","<p>1.36, 1.40, 1.71</p>","<p>1.36, 1.71, 1.40</p>","<p>1.71, 1.40, 1.36 </p>","<p>1.71, 1.36, 1.40 </p>",0,0,1,0,<p><span class="math-tex">\\(\\begin{array}{rlllll}&amp; \\text{&#160;}Order\\;of\\;size =\\text{&#160;}{{\\text{&#160;}N}^{\\text{&#160;}3}}^{-}&gt;\\text{&#160;}{{\\text{&#160;}O}^{\\text{&#160;}2}}^{-}&gt;\\text{&#160;}{\\text{&#160;}F}^{-}&amp; \\\\&amp; \\frac{z}{e} =\\frac{7}{10}\\ \\ \\ \\ &gt;\\ \\ \\ \\frac{8}{10}\\ \\ \\ &gt;\\ \\ \\ \\frac{9}{10}\\end{array}\\)</span></p>
lib-block-v1:Beatrix-techJEE-Advancedtype@problem+block@Chemistry11_1,JEE-Advanced,11,Chemistry,Classification of Elements and Periodicity in properties,Some important observations during qualitative analysis,1,3,-1,SMCQ,Conceptual,<p>Which of the following basic radicals is tested with dimethyl glyoxime in alkaline medium?</p>,<p> Co<sup>2+</sup></p>,<p> Zn<sup>2+</sup></p>,<p> Mn<sup>2+</sup></p>,<p> Ni<sup>2+</sup></p>,0,0,0,1,<p>DMG test &ndash; Ni<sup>2+</sup> ion</p>
lib-block-v1:Beatrix-techJEE-Advancedtype@problem+block@Chemistry11_2,JEE-Advanced,11,Chemistry,Classification of Elements and Periodicity in properties,Some important observations during qualitative analysis,1,3,-1,SMCQ,Analytical,<p>Correct formula and oxidation state of metal of the complex formed in a brown ring test for nitrates is</p>,"<p> [FeSO<sub>4</sub>NO], +2 </p>","<p> [Fe(H<sub>2</sub>O)<sub>5</sub>NO]<sup>+1</sup> , +2\t</p>","<p> [Fe(H<sub>2</sub>O)<sub>5</sub>NO]<sup>+1</sup>, +1</p>","<p> [Fe(H<sub>2</sub>O)<sub>5</sub>NO]<sup>+1</sup>, +3  </p>",0,0,1,0,"<p>Due to charge transfer from NO to Fe<sup>2+</sup>, Fe<sup>+1</sup> is formed.</p>"
lib-block-v1:Beatrix-techJEE-Advancedtype@problem+block@Chemistry11_3,JEE-Advanced,11,Chemistry,Classification of Elements and Periodicity in properties,Nomenclature,1,3,-1,SMCQ,Ultimate,<p>The IUPAC name for the complex <span class="math-tex">\\(\\left[Co{\\left(N{H}_{3}\\right)}_{5}\\left(N{O}_{2}\\right)\\right]C{l}_{2}\\)</span> is;</p>,<p> nitro-N-pentaammine cobalt (III) chloride</p>,<p> nitro-N-pentaammine cobalt (II) chloride</p>,<p> pentaammine nitro-N-cobalt (II) chloride</p>,<p> pentaammine nitro-N-cobalt (III) chloride</p>,0,0,0,1,<p><span class="math-tex">\\(N{H}_{3}-ammine\\)</span>; <span class="math-tex">\\(N{O}_{2}-nitro-N\\)</span></p>
lib-block-v1:Beatrix-techJEE-Advancedtype@problem+block@Chemistry11_4,JEE-Advanced,11,Chemistry,Classification of Elements and Periodicity in properties,Diagonal Relationship,1,3,-1,SMCQ,Conceptual,<p>Similarity between lithium and magnesium is particularly striking and arises because of their</p>,<p>small hydration energies</p>,<p>high hydration energies </p>,<p>low ionisation energies</p>,<p>similar sizes  </p>,0,0,0,1,<p>The similarity between lithium and magnesium is particularly striking and arises because of their similar sizes</p>
lib-block-v1:Beatrix-techJEE-Advancedtype@problem+block@Chemistry11_5,JEE-Advanced,11,Chemistry,Classification of Elements and Periodicity in properties,Electronegativity,1,3,-1,SMCQ,Analytical,<p>The pair with minimum difference in electronegativity is</p>,"<p>F,Cl</p>","<p>\tC,H</p>","<p>\t\tP,H\t</p>","<p>\t\tNa, Cs</p>",0,0,1,0,<p>P and H have same E.N. on pauling scale = 2.1</p>
lib-block-v1:Beatrix-techJEE-Advancedtype@problem+block@Chemistry11_6,JEE-Advanced,11,Chemistry,Classification of Elements and Periodicity in properties,Ionization energy,1,3,-1,SMCQ,Ultimate,<p>Which statement is correct in the following?</p>,<p>I.P. of O<sub>(g)</sub> is less than I.P. of O<sup>-</sup><sub>(g) </sub></p>,<p>\tI.P. of Ne<sub>(g)</sub> is greater than I.P. of Ne<sup>+</sup><sub>(g)</sub></p>,<p>E.A. of O<sup>+</sup><sub>(g)</sub> is greater than E.A. of O<sub>(g)</sub></p>,<p>\tI.P. of N<sub>(g)</sub> is greater than I.P. of N<sup>+</sup><sub>(g)</sub></p>,0,0,1,0,<p>I.E. of <em>A<sup>+</sup> </em>&gt; I.E. of <em>A</em></p>
lib-block-v1:Beatrix-techJEE-Advancedtype@problem+block@Chemistry11_7,JEE-Advanced,11,Chemistry,Classification of Elements and Periodicity in properties,Modern Periodical Table,1,3,-1,SMCQ,Analytical,<p>Which set of elements has strong tendency to form cations?</p>,"<p>N, O, P \t</p>","<p>F, Cl, Br </p>","<p>Be, He, Mg \t</p>","<p>Cs, Ba, K</p>",0,0,0,1,<p>Alkali and alkaline earth metals have strong tendency to form cation</p>
lib-block-v1:Beatrix-techJEE-Mainstype@problem+block@Chemistry11_8,JEE-Mains,11,Chemistry,Classification of Elements and Periodicity in properties,Some important observations during qualitative analysis,1,3,-1,SMCQ,Conceptual,<p>Which cation does not belong to group-I of basic radicals?</p>,<p>Ag<sup>+</sup></p>,<p>Pb<sup>2+</sup></p>,<p><span class='math-tex'>\\(H{g}_{2}^{2+}\\)</span></p>,<p>Hg<sup>2+</sup></p>,0,0,0,1,<p>Hg<sup>2+</sup> does not belong to group-I.</p>
lib-block-v1:Beatrix-techJEE-Mainstype@problem+block@Chemistry11_9,JEE-Mains,11,Chemistry,Classification of Elements and Periodicity in properties,Some important observations during qualitative analysis,1,3,-1,SMCQ,Analytical,<p>The group-I reagent is</p>,<p>H<sub>2</sub>S</p>,<p>HCl</p>,<p>CH<sub>3</sub>COOH</p>,<p>NH<sub>4</sub>OH</p>,0,1,0,0,<p>HCl is the group-I reagent.</p>
